county,county_pcode,year,season_basis,yield_t_ha,rain_dekads_available,rain_total_jan_jun_mm,rain_lta_jan_jun_mm,rain_anomaly_pct,rain_mean_dekad_mm,rain_std_dekad_mm,rain_cv,wet_dekads_ge20mm,heavy_dekads_ge50mm,dry_dekads_lt10mm,longest_dry_spell_dekads,rain_onset_doy,county_lat,county_lon,maize_area_ha
Kiambu,KE022,2024,Seasonal aggregate,0.96801,18.0,1580.380954,695.396027,127.263443,87.798942,95.89129,1.092169,12.0,10.0,3.0,2.0,61.0,-1.034385,36.843216,27017.0
Kilifi,KE003,2024,Seasonal aggregate,1.093094,18.0,408.279704,488.607513,-16.44015,22.682206,18.17951,0.801488,10.0,3.0,7.0,6.0,81.0,-3.152441,39.672708,80446.0
Kirinyaga,KE020,2024,Seasonal aggregate,0.973772,18.0,1120.770827,646.759723,73.290139,62.265046,79.344416,1.274301,9.0,7.0,2.0,1.0,92.0,-0.46735,37.301902,34853.0
Kisii,KE045,2024,Seasonal aggregate,1.981455,18.0,1095.84999,925.845013,18.362142,60.880555,30.324742,0.498102,16.0,11.0,1.0,1.0,81.0,-0.736677,34.75351,69218.0
Kisumu,KE042,2024,Seasonal aggregate,2.176269,18.0,1017.652178,816.425122,24.647338,56.536232,27.859206,0.492767,17.0,10.0,1.0,1.0,81.0,-0.19438,34.777329,51803.0
Kitui,KE015,2024,Seasonal aggregate,0.69094,18.0,452.908724,272.434005,66.245298,25.161596,30.35684,1.206475,5.0,4.0,8.0,3.0,81.0,-1.56049,38.37181,81647.0
Kwale,KE002,2024,Seasonal aggregate,1.35441,18.0,437.02974,541.885007,-19.350096,24.27943,17.371616,0.715487,7.0,2.0,6.0,4.0,71.0,-4.120591,39.066136,63305.0
Laikipia,KE031,2024,Seasonal aggregate,1.879243,18.0,517.357612,361.774838,43.005416,28.74209,29.847877,1.038473,7.0,3.0,7.0,3.0,92.0,0.289134,36.825248,29773.0
Lamu,KE005,2024,Seasonal aggregate,1.642419,18.0,457.438414,534.602138,-14.43386,25.413245,30.290228,1.191907,7.0,3.0,7.0,7.0,92.0,-2.063679,40.54583,49751.0
Machakos,KE016,2024,Seasonal aggregate,1.1896,18.0,939.364563,412.340392,127.81289,52.18692,64.094971,1.228181,11.0,5.0,6.0,3.0,61.0,-1.276237,37.394595,143256.0
Makueni,KE017,2024,Seasonal aggregate,0.710292,18.0,638.937745,334.183265,91.193818,35.496541,38.870775,1.095058,10.0,5.0,7.0,3.0,61.0,-2.253637,37.876663,161462.0
Mandera,KE009,2024,Seasonal aggregate,0.912782,18.0,313.68171,189.924349,65.161398,17.426762,34.897384,2.002517,4.0,2.0,14.0,9.0,92.0,3.230964,40.711346,1772.0
Marsabit,KE010,2024,Seasonal aggregate,0.763859,18.0,284.328552,184.486778,54.118661,15.796031,26.099079,1.652256,3.0,2.0,13.0,5.0,92.0,2.86048,37.714884,1472.0
Meru,KE012,2024,Seasonal aggregate,1.084625,18.0,816.779734,524.44141,55.742799,45.376652,63.134296,1.391339,9.0,5.0,6.0,3.0,92.0,0.229055,37.776111,92374.0
Migori,KE044,2024,Seasonal aggregate,1.24458,18.0,721.06897,753.103059,-4.253613,40.059387,23.184863,0.578762,13.0,5.0,1.0,1.0,81.0,-1.018704,34.309173,79357.0
Mombasa,KE001,2024,Seasonal aggregate,1.286072,18.0,568.0,734.479994,-22.666376,31.555556,29.223872,0.926109,10.0,4.0,5.0,4.0,81.0,-3.990448,39.70113,639.0
Murang'a,KE021,2024,Seasonal aggregate,0.879698,18.0,1545.529406,695.837541,122.110667,85.862745,106.735654,1.243096,12.0,8.0,2.0,1.0,61.0,-0.828519,37.004173,67776.0
Nairobi,KE047,2024,Seasonal aggregate,0.844422,18.0,1129.115381,505.110248,123.538403,62.728632,68.14665,1.086372,11.0,10.0,5.0,3.0,61.0,-1.300489,36.827926,753.9
Nakuru,KE032,2024,Seasonal aggregate,2.555102,18.0,876.735311,535.090196,63.848136,48.707517,40.968029,0.841103,12.0,7.0,1.0,1.0,81.0,-0.458448,36.100384,65028.0
Nandi,KE029,2024,Seasonal aggregate,2.419236,18.0,980.79121,819.09963,19.74016,54.488401,25.005449,0.458913,17.0,10.0,1.0,1.0,81.0,0.227352,35.123876,70240.0
Narok,KE033,2024,Seasonal aggregate,1.857325,18.0,1035.324189,591.197598,75.123206,57.51801,42.568761,0.740094,14.0,8.0,1.0,1.0,81.0,-1.279878,35.476358,136403.0
Nyamira,KE046,2024,Seasonal aggregate,1.404797,18.0,1150.724151,912.7161,26.076899,63.929119,32.994316,0.516108,17.0,12.0,1.0,1.0,81.0,-0.649378,34.933398,52286.0
Nyandarua,KE018,2024,Seasonal aggregate,2.454338,18.0,1003.95372,598.53858,67.73417,55.775207,52.741733,0.945612,12.0,7.0,2.0,1.0,81.0,-0.389093,36.497431,24433.0
Nyeri,KE019,2024,Seasonal aggregate,0.860752,18.0,1120.46363,644.133946,73.948856,62.247979,63.692879,1.023212,12.0,7.0,1.0,1.0,81.0,-0.314375,36.930473,30117.0
Samburu,KE025,2024,Seasonal aggregate,2.749047,18.0,395.042331,270.988171,45.778441,21.946796,27.580668,1.256706,5.0,2.0,10.0,3.0,92.0,1.541373,36.94154,6194.0
Siaya,KE041,2024,Seasonal aggregate,1.687207,18.0,951.775003,811.19542,17.329928,52.876389,31.27867,0.591543,17.0,9.0,1.0,1.0,81.0,-0.057674,34.199887,72048.0
Taita Taveta,KE006,2024,Seasonal aggregate,1.898095,18.0,359.641712,310.607723,15.786468,19.980095,17.644038,0.883081,7.0,1.0,7.0,5.0,61.0,-3.405203,38.37176,16382.0
Tana River,KE004,2024,Seasonal aggregate,2.10836,18.0,213.874498,192.080568,11.346244,11.881917,10.727296,0.902825,4.0,0.0,12.0,6.0,81.0,-1.534918,39.550288,6037.0
Tharaka-Nithi,KE013,2024,Seasonal aggregate,1.740738,18.0,894.809529,547.091662,63.557515,49.71164,74.799902,1.504676,9.0,5.0,6.0,3.0,81.0,-0.191445,37.960417,25069.0
Trans Nzoia,KE026,2024,Seasonal aggregate,3.775115,18.0,726.101276,634.237966,14.484045,40.33896,28.673763,0.710821,14.0,4.0,0.0,0.0,81.0,1.045915,34.980778,124463.0
Turkana,KE023,2024,Seasonal aggregate,0.923019,18.0,256.69035,172.177661,49.084584,14.260575,17.951308,1.258807,3.0,1.0,11.0,5.0,92.0,3.162488,35.313492,2567.0
Uasin Gishu,KE027,2024,Seasonal aggregate,4.253789,18.0,761.540541,606.721928,25.517227,42.307808,34.39617,0.812998,14.0,5.0,2.0,2.0,81.0,0.478188,35.303799,117628.0
Vihiga,KE038,2024,Seasonal aggregate,1.419937,18.0,1254.789479,1006.033351,24.72643,69.710527,31.374784,0.450072,17.0,13.0,1.0,1.0,81.0,0.084857,34.707784,24916.0
Wajir,KE008,2024,Seasonal aggregate,0.865969,18.0,252.848571,193.53923,30.644609,14.047143,29.964111,2.133111,3.0,2.0,14.0,9.0,92.0,1.939715,40.024507,655.0
West Pokot,KE024,2024,Seasonal aggregate,2.058448,18.0,530.153064,443.09581,19.647501,29.452948,29.706672,1.008615,7.0,3.0,4.0,2.0,81.0,1.893374,35.212768,48974.0
